name,last_name,age,passport,gender,address,phone_number,status
elham,aldally,50,11,F,egypt,123456,asdasd
yahia,qishta,13,22,M,egypt,123457,asdasd
suhad,abu haseara,64,33,F,egypt,1234568,qwe
sakeana,hamuda,77,44,F,egypt,1234569,qwe
yosef,hamuda,46,55,M,egypt,1234561,te
ekram,hamuda,46,66,F,egypt,1234562,thyroidas
islam,abu samra,23,77,M,egypt,1234563,thyroidas
abdulla,kiheil,43,88,M,egypt,1234564,thyroidas
amal,kiheil,38,99,M,egypt,1234565,thyroidas
latifa,kiheil,73,0,F,egypt,1234566,thyroidas
fadi,al dayim,35,12,M,egypt,12345611,thyroidas
baghdad,al dayim,35,13,F,egypt,12345622,thyroidas
majed,al maqusi,59,14,M,egypt,12345633,thyroidas
rana,awad,50,15,F,egypt,12345644,thyroidas
fuad,awad,62,16,F,egypt,12345442,thyroidas
